match_id,player,team,minute,x,y,distance_to_goal,angle_to_goal,body_part,shot_type,technique,under_pressure,n_defenders_in_cone,gk_distance_to_goal,play_pattern,statsbomb_xg,is_goal
3895320,Patrik Schick,Bayer Leverkusen,19,98.9,38.1,21.18537231204587,21.30580659809538,Left Foot,Open Play,Normal,True,2.0,2.9120439557122038,From Free Kick,0.07205808,0
3895320,Patrik Schick,Bayer Leverkusen,23,95.3,49.4,26.42820463065927,16.14811002315248,Left Foot,Open Play,Normal,True,2.0,2.9681644159311666,From Corner,0.027360361,0
3895320,Alejandro Grimaldo García,Bayer Leverkusen,28,110.0,30.5,13.793114224133722,24.660350890041776,Left Foot,Open Play,Normal,True,1.0,3.9824615503479763,From Free Kick,0.29306918,0
3895320,Patrik Schick,Bayer Leverkusen,28,108.0,37.0,12.36931687685298,35.020078854255445,Right Foot,Open Play,Volley,True,0.0,4.85489443757534,From Free Kick,0.31083485,0
3895320,Robert Andrich,Bayer Leverkusen,44,91.8,55.3,32.08317315977333,12.551196424896023,Right Foot,Open Play,Normal,True,1.0,2.9681644159311666,From Throw In,0.011808117,0
3895320,Robert Andrich,Bayer Leverkusen,46,96.1,29.1,26.268231763862605,15.837107237987277,Right Foot,Free Kick,Normal,True,3.0,0.6082762530298166,From Free Kick,0.06304603,0
3895320,Jamie Leweling,VfB Stuttgart,46,108.7,53.5,17.605112893702213,17.095058154545505,Right Foot,Open Play,Normal,True,1.0,5.580322571321481,Regular Play,0.111039735,0
3895320,Chris Führich,VfB Stuttgart,46,108.2,26.4,18.005554698481244,17.029544308047466,Left Foot,Open Play,Half Volley,True,0.0,4.080441152620634,Regular Play,0.08203193,1
3895320,Serhou Guirassy,VfB Stuttgart,48,97.0,57.2,28.720027855139698,12.815900049194257,Right Foot,Open Play,Normal,True,2.0,3.61247837363769,Regular Play,0.017944433,0
3895320,Leonidas Stergiou,VfB Stuttgart,55,91.3,49.0,30.07806509734295,14.486048094945758,Right Foot,Open Play,Half Volley,True,2.0,1.7492855684535895,From Throw In,0.020028373,0
3895320,Deniz Undav,VfB Stuttgart,56,104.6,44.6,16.072336482291558,26.9496314444686,Right Foot,Open Play,Half Volley,True,2.0,3.5114099732158857,From Goal Kick,0.0791097,1
3895320,Serhou Guirassy,VfB Stuttgart,58,104.0,42.6,16.209873534361705,27.416792076902073,Right Foot,Open Play,Normal,True,1.0,3.700000000000001,From Throw In,0.20463334,0
3895320,Amine Adli,Bayer Leverkusen,60,103.4,27.9,20.54190838262112,18.11384028751418,Left Foot,Open Play,Normal,True,2.0,1.897366596101023,From Throw In,0.060058244,1
3895320,Amine Adli,Bayer Leverkusen,64,102.2,44.7,18.410051602317683,23.795677508889366,Left Foot,Open Play,Half Volley,True,1.0,1.6278820596099688,Regular Play,0.056869425,0
3895320,Jonas Hofmann,Bayer Leverkusen,64,110.8,45.7,10.822661410207754,36.0462336423107,Left Foot,Open Play,Volley,True,0.0,2.4698178070456933,Regular Play,0.19331166,0
3895320,Edmond Fayçal Tapsoba,Bayer Leverkusen,66,101.1,51.1,21.9184853491294,18.033559215884683,Right Foot,Open Play,Normal,True,4.0,3.3301651610693446,Regular Play,0.034692705,0
3895320,Alejandro Grimaldo García,Bayer Leverkusen,70,94.2,47.0,26.732751448363857,16.458780556679624,Left Foot,Free Kick,Normal,True,2.0,1.1401754250991443,From Free Kick,0.06547359,0
3895320,Serhou Guirassy,VfB Stuttgart,71,114.1,40.4,5.913543776789013,68.104471080234,Right Foot,Open Play,Normal,True,0.0,2.927456233660895,From Goal Kick,0.6227633,0
3895320,Chris Führich,VfB Stuttgart,72,110.9,27.3,15.623699945915495,17.700912824091034,Right Foot,Open Play,Normal,True,1.0,4.016217125604637,From Keeper,0.07298914,0
3895320,Serhou Guirassy,VfB Stuttgart,86,113.1,44.2,8.077747210701762,48.260333667381154,Left Foot,Open Play,Normal,True,0.0,3.939543120718441,From Keeper,0.42948982,0
3895320,Robert Andrich,Bayer Leverkusen,95,110.4,39.9,9.600520819205586,45.2359687325005,Left Foot,Open Play,Half Volley,True,4.0,1.4142135623730951,From Free Kick,0.2119004,1
3895158,Julian Ryerson,Borussia Dortmund,4,111.3,33.9,10.625441167311598,35.688411737008856,Left Foot,Open Play,Normal,True,1.0,4.6097722286464435,From Free Kick,0.37884635,1
3895158,Exequiel Alejandro Palacios,Bayer Leverkusen,6,99.6,38.1,20.488289338058465,22.008091158756002,Left Foot,Open Play,Normal,True,2.0,2.9154759474226557,From Throw In,0.05545624,0
3895158,Granit Xhaka,Bayer Leverkusen,13,95.5,52.8,27.642177917088947,14.681529586874941,Left Foot,Open Play,Normal,True,3.0,1.5000000000000013,From Free Kick,0.021554975,0
3895158,Jonas Hofmann,Bayer Leverkusen,18,98.6,34.3,22.14610575247938,19.84141409325978,Right Foot,Open Play,Half Volley,True,2.0,0.9055385138137475,From Corner,0.03811005,0
3895158,Granit Xhaka,Bayer Leverkusen,20,95.8,48.2,25.551516589040272,16.908323104569178,Left Foot,Open Play,Half Volley,True,4.0,1.1704699910719567,Regular Play,0.022244284,0
3895158,Jonathan Tah,Bayer Leverkusen,25,114.7,48.5,10.016985574512923,26.689913868250247,Right Foot,Open Play,Volley,True,1.0,2.785677655436825,From Corner,0.11983944,0
3895158,Alejandro Grimaldo García,Bayer Leverkusen,30,92.9,33.0,27.989462302802455,15.775447485081681,Left Foot,Free Kick,Normal,True,5.0,0.860232526704265,From Free Kick,0.053796235,0
3895158,Jamie Jermaine Bynoe-Gittens,Borussia Dortmund,35,103.4,34.6,17.45623097922343,24.70059575648899,Right Foot,Open Play,Normal,True,2.0,2.954657340538835,Regular Play,0.068964936,0
3895158,Victor Okoh Boniface,Bayer Leverkusen,37,108.3,44.3,12.465151423067432,33.883153969516016,Head,Open Play,Normal,True,1.0,1.1704699910719567,From Corner,0.063403934,0
3895158,Exequiel Alejandro Palacios,Bayer Leverkusen,42,94.0,36.0,26.30589287593181,17.102728969052375,Right Foot,Open Play,Normal,True,1.0,1.6401219466856702,From Throw In,0.030914899,0
3895158,Granit Xhaka,Bayer Leverkusen,48,102.8,40.3,17.20261608011991,26.1764914282047,Left Foot,Open Play,Normal,True,3.0,1.6763054614240156,Regular Play,0.08714992,0
3895158,Granit Xhaka,Bayer Leverkusen,46,88.7,50.3,32.951176003293114,13.173871460282646,Left Foot,Open Play,Normal,True,3.0,1.1704699910719567,Regular Play,0.018029742,0
3895158,Jeremie Frimpong,Bayer Leverkusen,47,94.9,42.3,25.20515820224106,17.964614668434173,Right Foot,Open Play,Normal,True,4.0,1.6278820596099737,From Corner,0.03686006,0
3895158,Jeremie Frimpong,Bayer Leverkusen,47,97.0,35.3,23.475306174787157,18.976422601309096,Right Foot,Open Play,Normal,True,2.0,1.33416640641263,From Corner,0.03995831,0
3895158,Alejandro Grimaldo García,Bayer Leverkusen,49,85.6,35.9,34.64346980312452,13.083246064477967,Left Foot,Open Play,Normal,True,2.0,0.9486832980505183,Regular Play,0.018200042,0
3895158,Odilon Kossonou,Bayer Leverkusen,51,116.0,48.4,9.303762679690404,24.394992410252403,Right Foot,Open Play,Volley,True,1.0,2.8792360097775966,From Corner,0.104334064,0
3895158,Julian Brandt,Borussia Dortmund,53,104.7,40.3,15.302940893828216,29.292628851936303,Right Foot,Open Play,Half Volley,True,1.0,2.0396078054371136,Regular Play,0.057089705,0
3895158,Julian Brandt,Borussia Dortmund,53,93.0,57.8,32.339449593337235,11.845583068725187,Right Foot,Open Play,Normal,True,2.0,1.8384776310850195,Regular Play,0.0077010966,0
